bucket,sum_pl_fwd_count,sum_pl_bwd_count,sum_pl_fwd_bytes,sum_pl_bwd_bytes,sum_pl_fwd_flow_count,sum_pl_bwd_flow_count,avg_pl_fwd_count,avg_pl_bwd_count,avg_pl_fwd_bytes,avg_pl_bwd_bytes,sum_pkt_fwd_count,sum_pkt_bwd_count,sum_pkt_fwd_bytes,sum_pkt_bwd_bytes,sum_pkt_fwd_flow_count,sum_pkt_bwd_flow_count,avg_pkt_fwd_count,avg_pkt_bwd_count,avg_pkt_fwd_bytes,avg_pkt_bwd_bytes,bucket_size,label,pl_flow_fwd_bwd_byte_ratio_sum,pl_flow_fwd_bwd_byte_ratio_avg,pkt_flow_fwd_bwd_byte_ratio_sum,pkt_flow_fwd_bwd_byte_ratio_avg,pl_flow_bwd_fwd_byte_ratio,pkt_flow_bwd_fwd_byte_ratio,pl_flow_count_ratio,pkt_flow_count_ratio,pkt_count_ratio,pl_count_ratio
127,76,66,2740,4739,29,29,2.6206896551724137,2.2758620689655173,94.48275862068965,163.41379310344828,116,116,6828,8827,29,29,4.0,4.0,235.44827586206895,304.37931034482756,29,dns,0.5781810508546107,0.5781810508546106,0.7735357426079076,0.7735357426079076,1.7295620437956205,1.2927650849443468,1.0,1.0,0.9914529914529915,0.8571428571428571
128,64,50,2204,3967,25,25,2.56,2.0,88.16,158.68,120,120,6740,8503,25,25,4.8,4.8,269.6,340.12,25,dns,0.5555835644063524,0.5555835644063524,0.7926614136187228,0.7926614136187229,1.7999092558983667,1.2615727002967358,1.0,1.0,0.9917355371900827,0.7692307692307693
129,52,44,2044,4263,14,14,3.7142857142857144,3.142857142857143,146.0,304.5,84,84,5068,7287,14,14,6.0,6.0,362.0,520.5,14,dns,0.4794745484400657,0.4794745484400657,0.6954851104707013,0.6954851104707013,2.085616438356164,1.4378453038674033,1.0,1.0,0.9882352941176471,0.8301886792452831
130,64,50,2352,3991,22,22,2.909090909090909,2.272727272727273,106.9090909090909,181.4090909090909,120,120,6888,8527,22,22,5.454545454545454,5.454545454545454,313.09090909090907,387.59090909090907,22,dns,0.5893259834627913,0.5893259834627913,0.8077870294359094,0.8077870294359094,1.6968537414965987,1.2379500580720093,1.0,1.0,0.9917355371900827,0.7692307692307693
131,52,50,2058,4087,18,18,2.888888888888889,2.7777777777777777,114.33333333333333,227.05555555555554,60,60,3906,5935,18,18,3.3333333333333335,3.3333333333333335,217.0,329.72222222222223,18,dns,0.5035478345975043,0.5035478345975043,0.6581297388374052,0.6581297388374052,1.9859086491739553,1.519457245263697,1.0,1.0,0.9836065573770492,0.9433962264150944
132,52,44,1948,3112,18,18,2.888888888888889,2.4444444444444446,108.22222222222223,172.88888888888889,84,84,4972,6136,18,18,4.666666666666667,4.666666666666667,276.22222222222223,340.8888888888889,18,dns,0.6259640102827764,0.6259640102827764,0.8102998696219035,0.8102998696219035,1.5975359342915811,1.234111021721641,1.0,1.0,0.9882352941176471,0.8301886792452831
133,54,52,2294,3646,12,12,4.5,4.333333333333333,191.16666666666666,303.8333333333333,62,62,4198,5550,12,12,5.166666666666667,5.166666666666667,349.8333333333333,462.5,12,dns,0.6291826659352715,0.6291826659352715,0.7563963963963964,0.7563963963963963,1.5893635571054925,1.322058122915674,1.0,1.0,0.9841269841269841,0.9454545454545454
134,28,26,1312,1653,9,9,3.111111111111111,2.888888888888889,145.77777777777777,183.66666666666666,36,36,2488,2829,9,9,4.0,4.0,276.44444444444446,314.3333333333333,9,dns,0.793708408953418,0.793708408953418,0.879462707670555,0.879462707670555,1.259908536585366,1.1370578778135048,1.0,1.0,0.972972972972973,0.896551724137931
135,7330,7318,318838,745036,36,36,203.61111111111111,203.27777777777777,8856.611111111111,20695.444444444445,7378,7378,526430,952628,36,36,204.94444444444446,204.94444444444446,14623.055555555555,26461.88888888889,36,dns,0.4279497903457014,0.4279497903457014,0.5526081534449964,0.5526081534449963,2.336722724392952,1.8096005166878788,1.0,1.0,0.999864480281881,0.9982267084981585
136,36,30,1362,1807,14,14,2.5714285714285716,2.142857142857143,97.28571428571429,129.07142857142858,60,60,3546,3991,14,14,4.285714285714286,4.285714285714286,253.28571428571428,285.07142857142856,14,dns,0.7537354731599336,0.7537354731599336,0.8884991230268103,0.8884991230268103,1.3267254038179148,1.125493513818387,1.0,1.0,0.9836065573770492,0.8108108108108109
137,44,44,2054,2792,9,9,4.888888888888889,4.888888888888889,228.22222222222223,310.22222222222223,44,44,3286,4024,9,9,4.888888888888889,4.888888888888889,365.1111111111111,447.1111111111111,9,dns,0.7356733524355301,0.7356733524355301,0.8166003976143141,0.8166003976143141,1.3592989289191821,1.2245891661594643,1.0,1.0,0.9777777777777777,0.9777777777777777
138,34,28,1280,2077,12,12,2.8333333333333335,2.3333333333333335,106.66666666666667,173.08333333333334,58,58,3408,4205,12,12,4.833333333333333,4.833333333333333,284.0,350.4166666666667,12,dns,0.6162734713529129,0.6162734713529129,0.8104637336504161,0.8104637336504161,1.62265625,1.2338615023474178,1.0,1.0,0.9830508474576272,0.8
139,110,108,4394,9255,36,36,3.0555555555555554,3.0,122.05555555555556,257.0833333333333,118,118,7866,12727,36,36,3.2777777777777777,3.2777777777777777,218.5,353.52777777777777,36,dns,0.47477039438141544,0.4747703943814155,0.6180561012021686,0.6180561012021686,2.106281292671825,1.6179760996694634,1.0,1.0,0.9915966386554622,0.972972972972973
140,132,112,5220,10820,45,44,2.933333333333333,2.488888888888889,116.0,240.44444444444446,208,206,12640,18160,45,45,4.622222222222222,4.5777777777777775,280.8888888888889,403.55555555555554,45,dns,0.4824399260628466,0.4824399260628466,0.6960352422907489,0.696035242290749,2.0727969348659006,1.4367088607594938,0.9777777777777777,1.0,0.9856459330143541,0.8421052631578947
141,64,58,2562,4976,18,17,3.5555555555555554,3.2222222222222223,142.33333333333334,276.44444444444446,84,83,5334,7708,18,18,4.666666666666667,4.611111111111111,296.3333333333333,428.22222222222223,18,dns,0.514871382636656,0.514871382636656,0.692008303061754,0.692008303061754,1.9422326307572209,1.445069366329209,0.9444444444444444,1.0,0.9764705882352941,0.8923076923076924
142,54,40,1830,2990,23,23,2.347826086956522,1.7391304347826086,79.56521739130434,130.0,110,109,6086,7206,23,23,4.782608695652174,4.739130434782608,264.60869565217394,313.30434782608694,23,dns,0.6120401337792643,0.6120401337792641,0.8445739661393283,0.8445739661393284,1.633879781420765,1.1840289188301019,1.0,1.0,0.9819819819819819,0.7272727272727273
143,48,44,1964,3054,15,15,3.2,2.933333333333333,130.93333333333334,203.6,64,64,4092,5182,15,15,4.266666666666667,4.266666666666667,272.8,345.46666666666664,15,dns,0.6430910281597905,0.6430910281597905,0.7896565032805867,0.7896565032805868,1.554989816700611,1.2663734115347018,1.0,1.0,0.9846153846153847,0.8979591836734694
144,64,52,2190,5664,27,27,2.3703703703703702,1.9259259259259258,81.11111111111111,209.77777777777777,112,112,6334,9808,27,27,4.148148148148148,4.148148148148148,234.59259259259258,363.25925925925924,27,dns,0.3866525423728814,0.3866525423728814,0.6457993474714518,0.6457993474714518,2.5863013698630137,1.5484685822544995,1.0,1.0,0.9911504424778761,0.8
145,26,24,1126,2295,12,12,2.1666666666666665,2.0,93.83333333333333,191.25,34,34,2246,3415,12,12,2.8333333333333335,2.8333333333333335,187.16666666666666,284.5833333333333,12,dns,0.4906318082788671,0.4906318082788671,0.6576866764275257,0.6576866764275257,2.0381882770870337,1.5204808548530722,1.0,1.0,0.9714285714285714,0.8888888888888888
146,54,42,1920,3490,22,22,2.4545454545454546,1.9090909090909092,87.27272727272727,158.63636363636363,102,102,5784,7354,22,22,4.636363636363637,4.636363636363637,262.90909090909093,334.27272727272725,22,dns,0.5501432664756447,0.5501432664756447,0.7865107424530867,0.7865107424530868,1.8177083333333333,1.2714384508990317,1.0,1.0,0.9902912621359223,0.7636363636363637
147,50,40,1826,2816,18,17,2.7777777777777777,2.2222222222222223,101.44444444444444,156.44444444444446,86,85,4990,5940,18,18,4.777777777777778,4.722222222222222,277.22222222222223,330.0,18,dns,0.6484375,0.6484374999999999,0.8400673400673401,0.8400673400673401,1.5421686746987953,1.1903807615230462,0.9444444444444444,1.0,0.9770114942528736,0.7843137254901961
148,60,50,2078,3842,26,26,2.3076923076923075,1.9230769230769231,79.92307692307692,147.76923076923077,100,100,5718,7482,26,26,3.8461538461538463,3.8461538461538463,219.92307692307693,287.7692307692308,26,dns,0.540864133263925,0.540864133263925,0.764234161988773,0.764234161988773,1.848893166506256,1.3084994753410284,1.0,1.0,0.9900990099009901,0.819672131147541
149,44,34,1682,2954,16,16,2.75,2.125,105.125,184.625,84,84,4874,6146,16,16,5.25,5.25,304.625,384.125,16,dns,0.5693974272173324,0.5693974272173324,0.7930361210543443,0.7930361210543443,1.756242568370987,1.260976610586787,1.0,1.0,0.9882352941176471,0.7555555555555555
150,70,56,2424,6298,25,25,2.8,2.24,96.96,251.92,126,126,7128,11002,25,25,5.04,5.04,285.12,440.08,25,dns,0.3848840901873611,0.3848840901873611,0.6478822032357753,0.6478822032357754,2.5981848184818483,1.5434904601571269,1.0,1.0,0.9921259842519685,0.7887323943661971
151,108,106,4730,9809,36,36,3.0,2.9444444444444446,131.38888888888889,272.47222222222223,116,116,8146,13225,36,36,3.2222222222222223,3.2222222222222223,226.27777777777777,367.3611111111111,36,dns,0.48221021510857376,0.48221021510857376,0.6159546313799622,0.6159546313799622,2.073784355179704,1.6234961944512645,1.0,1.0,0.9914529914529915,0.9724770642201835
152,76,68,3154,5181,28,28,2.7142857142857144,2.4285714285714284,112.64285714285714,185.03571428571428,108,108,6850,8877,28,28,3.857142857142857,3.857142857142857,244.64285714285714,317.0357142857143,28,dns,0.6087627871067361,0.6087627871067361,0.7716570913596936,0.7716570913596936,1.6426759670259987,1.295912408759124,1.0,1.0,0.9908256880733946,0.8831168831168831
