"sip","sport","dip","dport","proto","first_timestamp","pl_fwd_count","pl_len_fwd_total","pl_bwd_count","pl_len_bwd_total","dd","dn","dns","ds","application","app","traffic_type"
"10.0.0.69",8333,"3.145.3.253",31215,6,1639418209307740,17,678,4,231,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"90.190.16.69",60062,6,1639418211691271,38,16045,4,174,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"103.210.117.100",62009,6,1639418212012301,23,4245,19,1942,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"88.99.167.175",22267,6,1639418212262292,14,359,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",18491,6,1639418221436019,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"113.89.151.253",10223,6,1639418221832995,25,5720,20,2140,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"94.142.241.194",13948,6,1639418235483599,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"185.220.101.6",13900,6,1639418245252430,3,150,1,126,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"37.59.44.143",57712,6,1639418247106600,10,476,2,154,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"146.185.139.235",54508,6,1639418272129072,27,3934,8,342,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"94.237.44.67",25409,6,1639418284151502,14,359,4,239,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"113.89.151.253",10387,6,1639418285160621,22,2926,19,2014,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"162.218.65.158",20201,6,1639418296679723,19,3789,5,182,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"113.89.151.253",10431,6,1639418304871073,25,4181,16,1922,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",6457,6,1639418340713633,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"103.99.170.212",58511,6,1639418372571548,993,1407546,5,352,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"86.191.87.120",62578,6,1639418387170241,23,4236,17,2591,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"172.58.36.37",41402,6,1639418392503100,66,1189,34,4718,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"52.80.165.184",54403,6,1639418398962291,39,30705,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"35.166.38.163",41299,6,1639418400128632,42,1128,9,368,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"84.67.118.60",55545,6,1639418409438271,55,42654,4,174,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"88.99.167.175",16213,6,1639418415285273,494,692902,6,292,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"86.209.73.127",58446,6,1639418416771562,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"112.47.235.202",15480,6,1639418417522689,3,150,2,126,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"77.120.122.114",45085,6,1639418443132475,14,359,2,150,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",31010,6,1639418461009313,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"36.189.109.109",36068,6,1639418482289470,24,653,33,40200,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"194.180.110.11",48097,6,1639418529320024,36,30386,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"94.237.44.67",33373,6,1639418530700304,14,359,4,239,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"88.99.167.175",38177,6,1639418537107679,36,30386,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"95.168.167.16",44452,6,1639418558569357,16,1412,4,174,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"80.194.62.218",52626,6,1639418571457779,0,0,1,130,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"178.62.227.11",45904,6,1639418574358243,76,24708,32,18160,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",14796,6,1639418581308490,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"91.198.115.10",16537,6,1639418606576041,3,150,2,134,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"91.198.115.10",44829,6,1639418606609918,272,138719,17,424,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"34.87.226.183",54004,6,1639418612701204,176,52097,84,36213,"Unknown","Google","Unknown","Unknown","Google","Unknown","Mining"
"10.0.0.69",8333,"146.185.139.235",40810,6,1639418615839758,24,1540,9,374,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"49.12.108.68",60864,6,1639418618782160,10,476,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"3.145.3.253",40185,6,1639418626671740,17,654,4,231,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"90.116.97.34",51955,6,1639418629035225,16,1412,4,174,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"144.217.240.89",36694,6,1639418646667581,10,476,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
